start_time,end_time,labelid,label,duration
2.54,3.1,1,Gesture,0.56
8.18,8.78,2,Gesture,0.5999999999999996
13.38,14.54,3,Gesture,1.1599999999999984
15.46,15.82,4,Gesture,0.35999999999999943
26.58,27.22,5,Gesture,0.6400000000000006
33.26,34.62,6,Gesture,1.3599999999999994
34.94,35.22,7,Gesture,0.28000000000000114
36.42,38.9,8,Gesture,2.479999999999997
42.1,44.86,9,Gesture,2.759999999999998
45.26,45.62,10,Gesture,0.35999999999999943
48.94,49.3,11,Gesture,0.35999999999999943
51.9,52.62,12,Gesture,0.7199999999999989
54.18,54.98,13,Gesture,0.7999999999999972
61.9,62.26,14,Gesture,0.35999999999999943
64.38,64.98,15,Gesture,0.6000000000000085
65.82,66.02,16,Gesture,0.20000000000000284
66.7,67.62,17,Gesture,0.9200000000000017
69.18,71.7,18,Gesture,2.519999999999996
73.66,74.46,19,Gesture,0.7999999999999972
77.58,78.86,20,Gesture,1.2800000000000011
91.54,91.86,21,Gesture,0.3199999999999932
96.3,100.14,22,Gesture,3.8400000000000034
100.7,102.5,23,Gesture,1.7999999999999972
102.9,105.5,24,Gesture,2.5999999999999943
107.5,107.82,25,Gesture,0.3199999999999932
108.26,110.62,26,Gesture,2.3599999999999994
111.22,112.54,27,Gesture,1.3200000000000074
114.54,116.82,28,Gesture,2.279999999999987
119.5,119.74,29,Gesture,0.23999999999999488
120.1,120.42,30,Gesture,0.3200000000000074
120.86,122.02,31,Gesture,1.1599999999999966
122.38,128.42000000000002,32,Gesture,6.0400000000000205
129.7,130.26,33,Gesture,0.5600000000000023
133.38,133.7,34,Gesture,0.3199999999999932
133.82,134.26,35,Move,0.4399999999999977
134.9,135.3,36,Gesture,0.4000000000000057
136.62,137.9,37,Gesture,1.2800000000000011
138.26,140.02,38,Gesture,1.7600000000000193
140.78,141.18,39,Gesture,0.4000000000000057
143.26,143.54,40,Gesture,0.28000000000000114
145.34,148.78,41,Gesture,3.4399999999999977
150.82,153.38,42,Gesture,2.5600000000000023
155.02,156.22,43,Gesture,1.1999999999999886
157.34,158.86,44,Gesture,1.5200000000000102
