start_time,end_time,labelid,label,duration
0.54,1.38,1,Gesture,0.8399999999999999
1.86,2.2199999999999998,2,Gesture,0.35999999999999965
3.58,4.42,3,Gesture,0.8399999999999999
4.58,5.62,4,Move,1.04
5.66,6.86,5,Gesture,1.2000000000000002
6.98,7.26,6,Move,0.27999999999999936
7.34,7.62,7,Gesture,0.28000000000000025
8.14,8.5,8,Gesture,0.35999999999999943
11.22,12.3,9,Gesture,1.08
12.46,13.26,10,Move,0.7999999999999989
13.3,14.7,11,Gesture,1.3999999999999986
14.74,15.54,12,Move,0.7999999999999989
15.62,16.58,13,Gesture,0.9599999999999991
16.66,17.94,14,Move,1.2800000000000011
