x,y,gesture
7.171769,2.2094839,femalemonologue1_t2-cam01.mp4_segment_1_Gesture_0.70_1.66
5.3586683,1.077337,femalemonologue1_t2-cam01.mp4_segment_2_Gesture_3.50_4.50
7.0135245,2.8195899,femalemonologue1_t2-cam01.mp4_segment_3_Move_7.02_7.58
6.4070716,2.2920887,femalemonologue1_t2-cam01.mp4_segment_4_Gesture_7.70_9.30
5.1321774,0.28393456,femalemonologue1_t2-cam01.mp4_segment_5_Gesture_10.70_12.46
5.689527,0.42207065,femalemonologue1_t2-cam01.mp4_segment_6_Gesture_13.38_17.78
7.315253,1.3568311,femalemonologue1_t2-cam10.mp4_segment_1_Gesture_0.58_1.30
6.582696,2.9826217,femalemonologue1_t2-cam10.mp4_segment_2_Gesture_3.42_4.54
7.323805,0.59778255,femalemonologue1_t2-cam10.mp4_segment_3_Move_4.58_5.54
6.188674,0.85625875,femalemonologue1_t2-cam10.mp4_segment_4_Move_6.62_7.22
5.5187325,2.8716912,femalemonologue1_t2-cam10.mp4_segment_5_Gesture_7.82_8.70
6.7596188,1.1695954,femalemonologue1_t2-cam10.mp4_segment_6_Gesture_12.54_14.82
6.9229026,0.29445577,femalemonologue1_t2-cam10.mp4_segment_7_Move_16.90_17.50
5.361689,2.337037,femalemonologue1_t2-cam22.mp4_segment_1_Gesture_0.54_1.38
4.2357054,1.876926,femalemonologue1_t2-cam22.mp4_segment_2_Gesture_3.58_4.42
5.732678,1.5609392,femalemonologue1_t2-cam22.mp4_segment_3_Move_4.58_5.30
4.2125387,1.3249881,femalemonologue1_t2-cam22.mp4_segment_4_Gesture_5.54_6.86
4.7220497,2.1779244,femalemonologue1_t2-cam22.mp4_segment_5_Move_6.98_7.90
4.872458,1.5102562,femalemonologue1_t2-cam22.mp4_segment_6_Gesture_11.22_16.58
5.9933267,2.0217981,femalemonologue1_t2-cam22.mp4_segment_7_Move_16.62_17.94
