start_time,end_time,labelid,label,duration
1.7,2.1799999999999997,1,Gesture,0.47999999999999976
2.2199999999999998,4.9,2,Move,2.6800000000000006
4.94,5.54,3,Gesture,0.5999999999999996
5.62,5.82,4,Move,0.20000000000000018
5.86,8.7,5,Gesture,2.839999999999999
8.78,9.3,6,Move,0.5200000000000014
9.34,11.22,7,Gesture,1.8800000000000008
12.82,15.94,8,Gesture,3.119999999999999
16.7,16.98,9,Move,0.28000000000000114
17.66,18.46,10,Gesture,0.8000000000000007
18.5,18.94,11,Move,0.4400000000000013
19.02,21.22,12,Gesture,2.1999999999999993
21.3,22.82,13,Move,1.5199999999999996
